text,label
visible signs are long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
i see white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
plant has leaf drying,Tomato___Target_Spot
leaves show healthy plant,Blueberry___healthy
there are small circular brown spots on leaves,Tomato___Septoria_leaf_spot
visible signs are no symptoms,Tomato___healthy
i see dark water soaked lesions,Potato___Late_blight
visible signs are small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
there are no disease on leaves,Strawberry___healthy
i see normal growth,"Pepper,_bell___healthy"
leaves show no symptoms,Peach___healthy
symptoms include green foliage,Raspberry___healthy
i see gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
plant has black rotten spots on fruit,Apple___Black_rot
i see tiny yellow specks on leaves,Tomato___Spider_mites Two-spotted_spider_mite
i see upward leaf curling,Tomato___Tomato_Yellow_Leaf_Curl_Virus
i see purple lesions on leaves,Apple___Black_rot
visible signs are yellow halo around spots,Tomato___Septoria_leaf_spot
symptoms include no symptoms,Grape___healthy
i see tiny leaf lesions,Tomato___Septoria_leaf_spot
symptoms include leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
there are yellowing of leaves on leaves,Potato___Early_blight
visible signs are leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
visible signs are yellow leaf discoloration,Apple___Cedar_apple_rust
visible signs are healthy green leaves,"Pepper,_bell___healthy"
symptoms include green leaves,Grape___healthy
plant has leaf holes and tearing,Peach___Bacterial_spot
leaves show dark water soaked lesions,Potato___Late_blight
visible signs are leaf holes and tearing,Peach___Bacterial_spot
i see yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
leaves show green leaves,Strawberry___healthy
there are green leaves on leaves,Potato___healthy
symptoms include leaf holes and tearing,Peach___Bacterial_spot
plant has leaf drop,Tomato___Bacterial_spot
there are healthy plant on leaves,Blueberry___healthy
plant has yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
leaves show leaf distortion and curling,Tomato___Tomato_mosaic_virus
leaves show no disease,"Pepper,_bell___healthy"
the plant is showing dry leaf patches,Potato___Early_blight
i see small rust spots,Corn_(maize)___Common_rust_
leaves show stunted plant growth,Tomato___Tomato_Yellow_Leaf_Curl_Virus
there are green foliage on leaves,Raspberry___healthy
symptoms include stunted plant growth,Tomato___Tomato_Yellow_Leaf_Curl_Virus
there are yellowing around leaf spots on leaves,Apple___Apple_scab
there are fruit shriveling and drying on leaves,Grape___Black_rot
leaves show healthy vine,Grape___healthy
there are dark water soaked lesions on leaves,Potato___Late_blight
the plant is showing no symptoms,Blueberry___healthy
plant has light and dark green patches,Tomato___Tomato_mosaic_virus
visible signs are olive green spots on leaves,Apple___Apple_scab
there are leaf edges turning brown on leaves,Apple___Black_rot
leaves show no disease,"Pepper,_bell___healthy"
the plant is showing leaf distortion and curling,Tomato___Tomato_mosaic_virus
visible signs are target shaped lesions,Tomato___Target_Spot
i see no symptoms,Raspberry___healthy
symptoms include gray green leaf spots,Corn_(maize)___Northern_Leaf_Blight
there are leaf blight symptoms on leaves,Corn_(maize)___Northern_Leaf_Blight
visible signs are small tube-like structures under leaves,Apple___Cedar_apple_rust
plant has upward leaf curling,Tomato___Tomato_Yellow_Leaf_Curl_Virus
there are small rust spots on leaves,Corn_(maize)___Common_rust_
there are no symptoms on leaves,Grape___healthy
the plant is showing purple lesions on leaves,Apple___Black_rot
there are leaf blight symptoms on leaves,Corn_(maize)___Northern_Leaf_Blight
leaves show leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
the plant is showing no visible disease,Apple___healthy
visible signs are yellowing around leaf spots,Apple___Apple_scab
plant has small rust spots,Corn_(maize)___Common_rust_
there are stunted plant growth on leaves,Tomato___Tomato_Yellow_Leaf_Curl_Virus
leaves show no symptoms,Raspberry___healthy
plant has purple lesions on leaves,Apple___Black_rot
the plant is showing light and dark green patches,Tomato___Tomato_mosaic_virus
symptoms include brown spots with concentric rings,Potato___Early_blight
the plant is showing olive green spots on leaves,Apple___Apple_scab
visible signs are tiny yellow specks on leaves,Tomato___Spider_mites Two-spotted_spider_mite
visible signs are tiny leaf lesions,Tomato___Septoria_leaf_spot
i see green leaves,Corn_(maize)___healthy
leaves show healthy crop,Soybean___healthy
plant has leaf rot,Potato___Late_blight
visible signs are dusty white appearance,Squash___Powdery_mildew
there are leaf blight symptoms on leaves,Corn_(maize)___Northern_Leaf_Blight
i see leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
leaves show leaf curling,Tomato___Leaf_Mold
symptoms include light and dark green patches,Tomato___Tomato_mosaic_virus
visible signs are dusty white appearance,Squash___Powdery_mildew
i see leaf scorch symptoms,Grape___Esca_(Black_Measles)
the plant is showing fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
leaves show black rotten spots on fruit,Apple___Black_rot
there are yellowing of lower leaves on leaves,Tomato___Early_blight
the plant is showing healthy leaves,Raspberry___healthy
visible signs are webbing under leaves,Tomato___Spider_mites Two-spotted_spider_mite
symptoms include upward leaf curling,Tomato___Tomato_Yellow_Leaf_Curl_Virus
leaves show webbing under leaves,Tomato___Spider_mites Two-spotted_spider_mite
visible signs are normal plant growth,Apple___healthy
the plant is showing green leaves,Peach___healthy
i see leaf striping patterns,Grape___Esca_(Black_Measles)
the plant is showing yellowing around leaf spots,Apple___Apple_scab
plant has dry leaf patches,Potato___Early_blight
visible signs are yellowing of lower leaves,Tomato___Early_blight
there are leaf tissue turning gray on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
plant has brown spots with concentric rings,Potato___Early_blight
the plant is showing leaf drop,Tomato___Bacterial_spot
symptoms include no disease,Strawberry___healthy
the plant is showing fungal coating,Squash___Powdery_mildew
symptoms include leaf blight symptoms,Corn_(maize)___Northern_Leaf_Blight
symptoms include tiny yellow specks on leaves,Tomato___Spider_mites Two-spotted_spider_mite
leaves show white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
symptoms include target shaped lesions,Tomato___Target_Spot
visible signs are no disease symptoms,Corn_(maize)___healthy
i see healthy plant,Peach___healthy
leaves show white fungal growth underside,Potato___Late_blight
i see fruit surface lesions,Peach___Bacterial_spot
the plant is showing green foliage,Cherry_(including_sour)___healthy
the plant is showing asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
i see leaf blight symptoms,Corn_(maize)___Northern_Leaf_Blight
there are green leaves on leaves,Tomato___healthy
there are leaf edges turning brown on leaves,Apple___Black_rot
there are no symptoms on leaves,Raspberry___healthy
there are healthy leaves on leaves,Cherry_(including_sour)___healthy
visible signs are healthy vine,Grape___healthy
plant has purple spots on leaves,Strawberry___Leaf_scorch
plant has mosaic pattern on leaves,Tomato___Tomato_mosaic_virus
i see healthy vine,Grape___healthy
the plant is showing leaf rot,Potato___Late_blight
plant has green leaves,Peach___healthy
visible signs are tiny yellow specks on leaves,Tomato___Spider_mites Two-spotted_spider_mite
leaves show leaf drying,Tomato___Target_Spot
visible signs are leaf edges turning brown,Apple___Black_rot
symptoms include no symptoms,Grape___healthy
i see green leaves,Blueberry___healthy
visible signs are dark spots on grapes,Grape___Esca_(Black_Measles)
symptoms include small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
i see green leaves,Potato___healthy
leaves show white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
there are green healthy leaves on leaves,Apple___healthy
i see healthy plant,Blueberry___healthy
leaves show white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
symptoms include dark spots on grapes,Grape___Esca_(Black_Measles)
plant has yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
plant has fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
leaves show brown spots with concentric rings,Potato___Early_blight
leaves show leaf drop,Tomato___Bacterial_spot
the plant is showing brown circular lesions,Grape___Black_rot
there are brown angular leaf spots on leaves,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
there are yellow halo around lesions on leaves,Tomato___Bacterial_spot
there are yellowing around leaf spots on leaves,Apple___Apple_scab
the plant is showing green leaves,Corn_(maize)___healthy
symptoms include small circular brown spots,Tomato___Septoria_leaf_spot
there are green foliage on leaves,Raspberry___healthy
the plant is showing leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
there are webbing under leaves on leaves,Tomato___Spider_mites Two-spotted_spider_mite
i see asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
symptoms include leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
plant has small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
visible signs are no symptoms,Blueberry___healthy
the plant is showing green leaves,Tomato___healthy
there are healthy leaves on leaves,Raspberry___healthy
there are brown circular spots on leaves,Tomato___Target_Spot
plant has asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
leaves show green leaves,Strawberry___healthy
i see leaf curling,Tomato___Leaf_Mold
the plant is showing bright orange spots on leaves,Apple___Cedar_apple_rust
visible signs are upward leaf curling,Tomato___Tomato_Yellow_Leaf_Curl_Virus
i see yellow spots on upper leaves,Tomato___Leaf_Mold
symptoms include healthy plant,Potato___healthy
the plant is showing bright orange spots on leaves,Apple___Cedar_apple_rust
plant has olive green spots on leaves,Apple___Apple_scab
plant has brown circular lesions,Grape___Black_rot
i see yellowing of lower leaves,Tomato___Early_blight
plant has yellow halo around lesions,Tomato___Bacterial_spot
visible signs are mosaic pattern on leaves,Tomato___Tomato_mosaic_virus
there are mosaic pattern on leaves on leaves,Tomato___Tomato_mosaic_virus
there are white fungal growth underside on leaves,Potato___Late_blight
symptoms include long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
the plant is showing green leaves,Grape___healthy
plant has dark spots on grapes,Grape___Esca_(Black_Measles)
i see green healthy leaves,Apple___healthy
i see no symptoms,Peach___healthy
i see yellow halo around lesions,Tomato___Bacterial_spot
i see yellow leaf discoloration,Apple___Cedar_apple_rust
visible signs are normal plant growth,Apple___healthy
the plant is showing green leaves,Blueberry___healthy
symptoms include small dark spots on leaves,Tomato___Bacterial_spot
i see gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
there are dark water soaked spots on leaves on leaves,Peach___Bacterial_spot
plant has target-like lesions,Tomato___Early_blight
there are small deformed fruits on leaves,Orange___Haunglongbing_(Citrus_greening)
symptoms include normal plant growth,Apple___healthy
plant has long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
symptoms include healthy leaves,Raspberry___healthy
plant has long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
symptoms include green leaves,Potato___healthy
plant has leaf rot and decay,Tomato___Late_blight
leaves show healthy vine,Grape___healthy
plant has green healthy leaves,Apple___healthy
plant has dark spots on grapes,Grape___Esca_(Black_Measles)
i see small circular brown spots,Tomato___Septoria_leaf_spot
symptoms include yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
the plant is showing green leaves,Soybean___healthy
there are healthy plant on leaves,Blueberry___healthy
symptoms include dark water soaked spots,Tomato___Late_blight
the plant is showing leaf distortion and curling,Tomato___Tomato_mosaic_virus
plant has no symptoms,Blueberry___healthy
plant has dark water soaked spots,Tomato___Late_blight
the plant is showing tiny leaf lesions,Tomato___Septoria_leaf_spot
the plant is showing brown spots with concentric rings,Tomato___Early_blight
there are green leaves on leaves,Peach___healthy
leaves show leaf edges turning brown,Strawberry___Leaf_scorch
visible signs are dark water soaked lesions,Potato___Late_blight
leaves show no visible disease,Apple___healthy
leaves show leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
the plant is showing yellowing of leaves,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plant has green leaves,Blueberry___healthy
leaves show brown spots with concentric rings,Tomato___Early_blight
leaves show leaf holes and tearing,Peach___Bacterial_spot
there are no signs of disease on leaves,Cherry_(including_sour)___healthy
plant has leaf rot,Potato___Late_blight
leaves show target-like lesions,Tomato___Early_blight
visible signs are white fungal growth underside,Potato___Late_blight
leaves show yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
the plant is showing leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
plant has brown spots with concentric rings,Tomato___Early_blight
i see fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
there are healthy vine on leaves,Grape___healthy
leaves show white mold under leaves,Tomato___Late_blight
symptoms include dark water soaked spots,Tomato___Late_blight
leaves show fruit surface lesions,Peach___Bacterial_spot
the plant is showing leaf curling,Tomato___Leaf_Mold
symptoms include scorched leaf appearance,Strawberry___Leaf_scorch
the plant is showing green leaves,Blueberry___healthy
symptoms include fungal coating,Squash___Powdery_mildew
the plant is showing leaf edges turning brown,Strawberry___Leaf_scorch
leaves show brown angular leaf spots,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
symptoms include green foliage,Raspberry___healthy
visible signs are green leaves,Strawberry___healthy
there are leaf rot on leaves,Potato___Late_blight
i see yellowing around leaf spots,Apple___Apple_scab
i see healthy crop,Corn_(maize)___healthy
there are brown circular lesions on leaves,Grape___Black_rot
there are no symptoms on leaves,Grape___healthy
visible signs are leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
leaves show leaf distortion and curling,Tomato___Tomato_mosaic_virus
i see green foliage,Raspberry___healthy
i see green leaves,Strawberry___healthy
i see leaf striping patterns,Grape___Esca_(Black_Measles)
i see leaf holes and tearing,Peach___Bacterial_spot
plant has leaf rot,Potato___Late_blight
there are green leaves on leaves,Grape___healthy
the plant is showing long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
symptoms include black spots on leaves,Grape___Black_rot
plant has leaf scorch symptoms,Grape___Esca_(Black_Measles)
the plant is showing green mold on underside,Tomato___Leaf_Mold
the plant is showing yellow leaf discoloration,Apple___Cedar_apple_rust
i see leaf edges turning brown,Strawberry___Leaf_scorch
leaves show purple lesions on leaves,Apple___Black_rot
leaves show green leaves,Peach___healthy
visible signs are light and dark green patches,Tomato___Tomato_mosaic_virus
leaves show no signs of disease,Cherry_(including_sour)___healthy
i see yellowing of lower leaves,Tomato___Early_blight
plant has gray green leaf spots,Corn_(maize)___Northern_Leaf_Blight
plant has leaf blight symptoms,Corn_(maize)___Northern_Leaf_Blight
symptoms include healthy crop,Corn_(maize)___healthy
leaves show yellow halo around spots,"Pepper,_bell___Bacterial_spot"
visible signs are bright orange spots on leaves,Apple___Cedar_apple_rust
visible signs are healthy plant,Potato___healthy
leaves show dark spots on grapes,Grape___Esca_(Black_Measles)
leaves show yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
symptoms include black rotten spots on fruit,Apple___Black_rot
the plant is showing yellow halo around lesions,Tomato___Bacterial_spot
visible signs are no visible disease,Apple___healthy
leaves show small circular brown spots,Tomato___Septoria_leaf_spot
there are yellow halo around spots on leaves,"Pepper,_bell___Bacterial_spot"
leaves show small tube-like structures under leaves,Apple___Cedar_apple_rust
the plant is showing healthy plant,Strawberry___healthy
leaves show leaf blight symptoms,Corn_(maize)___Northern_Leaf_Blight
the plant is showing leaf edges turning brown,Apple___Black_rot
visible signs are green foliage,Cherry_(including_sour)___healthy
the plant is showing leaf drying,Tomato___Target_Spot
i see leaf rot and decay,Tomato___Late_blight
symptoms include leaf distortion and curling,Tomato___Tomato_mosaic_virus
the plant is showing dark water soaked lesions,Potato___Late_blight
i see yellow spots on upper leaves,Tomato___Leaf_Mold
the plant is showing healthy plant,Potato___healthy
the plant is showing yellow spots on upper leaves,Tomato___Leaf_Mold
visible signs are dark water soaked spots,Tomato___Late_blight
there are small deformed fruits on leaves,Orange___Haunglongbing_(Citrus_greening)
symptoms include webbing under leaves,Tomato___Spider_mites Two-spotted_spider_mite
visible signs are green leaves,Tomato___healthy
visible signs are no disease signs,Soybean___healthy
plant has gray green leaf spots,Corn_(maize)___Northern_Leaf_Blight
i see healthy crop,Soybean___healthy
visible signs are leaf blight symptoms,Corn_(maize)___Northern_Leaf_Blight
there are white mold under leaves on leaves,Tomato___Late_blight
visible signs are green leaves,Peach___healthy
visible signs are asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
visible signs are no disease,Strawberry___healthy
i see purple spots on leaves,Strawberry___Leaf_scorch
visible signs are leaf holes and tearing,Peach___Bacterial_spot
the plant is showing healthy green leaves,"Pepper,_bell___healthy"
there are brown circular lesions on leaves,Grape___Black_rot
plant has brown spots with concentric rings,Tomato___Early_blight
leaves show yellow leaf discoloration,Apple___Cedar_apple_rust
plant has no visible disease,Apple___healthy
symptoms include tiny leaf lesions,Tomato___Septoria_leaf_spot
plant has fruit shriveling and drying,Grape___Black_rot
there are powdery spores on leaf surface on leaves,Corn_(maize)___Common_rust_
visible signs are dark water soaked spots,Tomato___Late_blight
i see healthy leaves,Raspberry___healthy
symptoms include no symptoms,Peach___healthy
symptoms include green leaves,Tomato___healthy
visible signs are bright orange spots on leaves,Apple___Cedar_apple_rust
leaves show green leaves,Strawberry___healthy
i see healthy plant,Blueberry___healthy
there are leaf drop on leaves,"Pepper,_bell___Bacterial_spot"
i see brown spots with concentric rings,Potato___Early_blight
plant has dark water soaked lesions,Potato___Late_blight
visible signs are no disease symptoms,Corn_(maize)___healthy
the plant is showing healthy plant,Tomato___healthy
i see leaf striping patterns,Grape___Esca_(Black_Measles)
leaves show dusty white appearance,Squash___Powdery_mildew
plant has leaf striping patterns,Grape___Esca_(Black_Measles)
visible signs are yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
the plant is showing healthy plant,Peach___healthy
visible signs are yellowing around leaf spots,Apple___Apple_scab
there are leaf edges turning brown on leaves,Apple___Black_rot
symptoms include green mold on underside,Tomato___Leaf_Mold
i see target shaped lesions,Tomato___Target_Spot
the plant is showing no disease signs,Soybean___healthy
the plant is showing black rotten spots on fruit,Apple___Black_rot
i see white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
i see leaf drop,"Pepper,_bell___Bacterial_spot"
visible signs are black rotten spots on fruit,Apple___Black_rot
symptoms include no disease signs,Soybean___healthy
visible signs are dark water soaked lesions,Potato___Late_blight
there are reddish brown pustules on leaves on leaves,Corn_(maize)___Common_rust_
visible signs are no symptoms,Potato___healthy
leaves show fungal coating,Squash___Powdery_mildew
leaves show fungal coating,Squash___Powdery_mildew
there are fruit surface lesions on leaves,Peach___Bacterial_spot
there are yellow halo around spots on leaves,Tomato___Septoria_leaf_spot
the plant is showing no symptoms,Peach___healthy
the plant is showing leaf holes and tearing,Peach___Bacterial_spot
leaves show yellow halo around spots,Tomato___Septoria_leaf_spot
visible signs are no symptoms,Tomato___healthy
there are normal plant growth on leaves,Apple___healthy
visible signs are green leaves,Soybean___healthy
leaves show small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
leaves show asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
plant has leaf edges turning brown,Strawberry___Leaf_scorch
symptoms include dark water soaked spots,Tomato___Late_blight
there are green leaves on leaves,Soybean___healthy
visible signs are green foliage,Cherry_(including_sour)___healthy
symptoms include leaf rot,Potato___Late_blight
the plant is showing small tube-like structures under leaves,Apple___Cedar_apple_rust
leaves show dark scabby lesions on fruit,Apple___Apple_scab
plant has green leaves,Corn_(maize)___healthy
visible signs are normal plant growth,Apple___healthy
the plant is showing yellow spots on upper leaves,Tomato___Leaf_Mold
leaves show healthy plant,Potato___healthy
leaves show healthy green leaves,"Pepper,_bell___healthy"
the plant is showing purple lesions on leaves,Apple___Black_rot
leaves show small rust spots,Corn_(maize)___Common_rust_
symptoms include scorched leaf appearance,Strawberry___Leaf_scorch
i see no signs of disease,Cherry_(including_sour)___healthy
symptoms include green leaves,Grape___healthy
symptoms include healthy plant,Tomato___healthy
symptoms include brown circular spots,Tomato___Target_Spot
i see no visible disease,Apple___healthy
plant has yellow spots on upper leaves,Tomato___Leaf_Mold
the plant is showing fruit shriveling and drying,Grape___Black_rot
the plant is showing no signs of disease,Cherry_(including_sour)___healthy
plant has green mold on underside,Tomato___Leaf_Mold
i see light and dark green patches,Tomato___Tomato_mosaic_virus
the plant is showing leaf rot and decay,Tomato___Late_blight
plant has leaf rot,Potato___Late_blight
leaves show dusty white appearance,Squash___Powdery_mildew
visible signs are healthy plant,Potato___healthy
symptoms include dark spots on grapes,Grape___Esca_(Black_Measles)
the plant is showing small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
i see brown angular leaf spots,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
plant has white fungal growth underside,Potato___Late_blight
the plant is showing healthy crop,Corn_(maize)___healthy
visible signs are no symptoms,Peach___healthy
plant has leaf discoloration,Tomato___Spider_mites Two-spotted_spider_mite
i see leaf drying,Tomato___Target_Spot
the plant is showing tiny yellow specks on leaves,Tomato___Spider_mites Two-spotted_spider_mite
leaves show upward leaf curling,Tomato___Tomato_Yellow_Leaf_Curl_Virus
leaves show leaf edges turning brown,Strawberry___Leaf_scorch
plant has small circular brown spots,Tomato___Septoria_leaf_spot
i see white powder on leaves,Squash___Powdery_mildew
visible signs are green healthy leaves,Apple___healthy
the plant is showing brown circular spots,Tomato___Target_Spot
i see healthy leaves,Cherry_(including_sour)___healthy
leaves show normal growth,"Pepper,_bell___healthy"
there are gray rectangular lesions on leaves on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
there are no disease symptoms on leaves,Corn_(maize)___healthy
leaves show green leaves,Soybean___healthy
plant has small circular brown spots,Tomato___Septoria_leaf_spot
visible signs are olive green spots on leaves,Apple___Apple_scab
leaves show black spots on leaves,Grape___Black_rot
leaves show dark scabby lesions on fruit,Apple___Apple_scab
visible signs are yellowing of lower leaves,Tomato___Early_blight
the plant is showing white powder on leaves,Squash___Powdery_mildew
plant has fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
visible signs are dark scabby lesions on fruit,Apple___Apple_scab
the plant is showing fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
symptoms include leaf curling,Tomato___Leaf_Mold
i see white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
the plant is showing brown circular lesions,Grape___Black_rot
the plant is showing healthy plant,Blueberry___healthy
plant has long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
leaves show leaf scorch symptoms,Grape___Esca_(Black_Measles)
visible signs are purple lesions on leaves,Apple___Black_rot
plant has yellow leaf discoloration,Apple___Cedar_apple_rust
i see leaf distortion and curling,Tomato___Tomato_mosaic_virus
plant has healthy plant,Peach___healthy
the plant is showing healthy green leaves,"Pepper,_bell___healthy"
leaves show white powder on leaves,Squash___Powdery_mildew
there are long narrow leaf spots on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
there are small deformed fruits on leaves,Orange___Haunglongbing_(Citrus_greening)
symptoms include no disease,"Pepper,_bell___healthy"
there are no symptoms on leaves,Peach___healthy
i see scorched leaf appearance,Strawberry___Leaf_scorch
symptoms include long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
i see no disease,"Pepper,_bell___healthy"
visible signs are gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
there are healthy plant on leaves,Tomato___healthy
there are white fungal growth underside on leaves,Potato___Late_blight
i see tiny yellow specks on leaves,Tomato___Spider_mites Two-spotted_spider_mite
i see yellow halo around lesions,Tomato___Bacterial_spot
plant has no signs of disease,Cherry_(including_sour)___healthy
symptoms include green leaves,Blueberry___healthy
symptoms include yellowing of lower leaves,Tomato___Early_blight
plant has gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
plant has fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
there are green foliage on leaves,Cherry_(including_sour)___healthy
i see green foliage,Cherry_(including_sour)___healthy
symptoms include leaf rot and decay,Tomato___Late_blight
plant has normal plant growth,Apple___healthy
there are no disease on leaves,"Pepper,_bell___healthy"
there are healthy leaves on leaves,Raspberry___healthy
plant has green foliage,Raspberry___healthy
leaves show tiny yellow specks on leaves,Tomato___Spider_mites Two-spotted_spider_mite
leaves show upward leaf curling,Tomato___Tomato_Yellow_Leaf_Curl_Virus
symptoms include leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
visible signs are green leaves,Soybean___healthy
plant has green leaves,Grape___healthy
symptoms include dark scabby lesions on fruit,Apple___Apple_scab
leaves show brown circular lesions,Grape___Black_rot
i see no signs of disease,Cherry_(including_sour)___healthy
the plant is showing long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
the plant is showing leaf holes and tearing,Peach___Bacterial_spot
the plant is showing scorched leaf appearance,Strawberry___Leaf_scorch
symptoms include yellow halo around spots,"Pepper,_bell___Bacterial_spot"
there are no signs of disease on leaves,Cherry_(including_sour)___healthy
the plant is showing dark scabby lesions on fruit,Apple___Apple_scab
